fig_num,name,num_parts,img_url
fig-000003,"Assassin Droid, White",8,https://cdn.rebrickable.com/media/sets/fig-000003.jpg
fig-000054,"Clone Pilot, Phase I Armor, Plain Black Head",4,https://cdn.rebrickable.com/media/sets/fig-000054.jpg
fig-000056,"Clone Trooper Lieutenant, Dark Azure Markings, Plain Legs",4,https://cdn.rebrickable.com/media/sets/fig-000056.jpg
fig-000058,"Clone Trooper, Phase I Armor, Angry, Plain Legs",4,https://cdn.rebrickable.com/media/sets/fig-000058.jpg
fig-000064,"Clone Trooper, 91st Mobile Reconnaissance Corps, Dark Red Markings",4,https://cdn.rebrickable.com/media/sets/fig-000064.jpg
fig-000075,"Stormtrooper, Plain Black Head, Pauldron and Neck Bracket",11,https://cdn.rebrickable.com/media/sets/fig-000075.jpg
fig-000078,"Nute Gunray, Dark Red Robe",4,https://cdn.rebrickable.com/media/sets/fig-000078.jpg
fig-000091,"Snowtrooper, Light Bluish Gray Hips, Printed Black Head, White Hands",4,https://cdn.rebrickable.com/media/sets/fig-000091.jpg
fig-000115,TC-4,3,https://cdn.rebrickable.com/media/sets/fig-000115.jpg
fig-000124,"Chewbacca, Reddish Brown",3,https://cdn.rebrickable.com/media/sets/fig-000124.jpg
fig-000142,"AT-AT Driver, Sand Blue Uniform",4,https://cdn.rebrickable.com/media/sets/fig-000142.jpg
fig-000144,"Luke Skywalker, White Robe, White Legs, Cheek Lines",4,https://cdn.rebrickable.com/media/sets/fig-000144.jpg
fig-000163,"Imperial Shadow Trooper, Short Line on Back, Black, Plain Legs",4,https://cdn.rebrickable.com/media/sets/fig-000163.jpg
fig-000166,"Imperial Officer / Captain / Commandant / Commander, Battle Armor, Black Hips",4,https://cdn.rebrickable.com/media/sets/fig-000166.jpg
fig-000190,"Rebel Trooper in Hoth Uniform, Tan Hat, Moustache",6,https://cdn.rebrickable.com/media/sets/fig-000190.jpg
fig-000196,"TIE Pilot, Plain Legs, Plain Black Head (30408 Helmet)",4,https://cdn.rebrickable.com/media/sets/fig-000196.jpg
fig-000235,Zev Senesca with Plain Helmet,4,https://cdn.rebrickable.com/media/sets/fig-000235.jpg
fig-000238,"Boba Fett, Helmet and Jetpack, Light Gray Armor, Plain Legs",4,https://cdn.rebrickable.com/media/sets/fig-000238.jpg
fig-000259,"T-16 Skyhopper Pilot, Red Outfit, Yellow Skin",4,https://cdn.rebrickable.com/media/sets/fig-000259.jpg
fig-000270,Darth Maul in Santa Outfit,5,https://cdn.rebrickable.com/media/sets/fig-000270.jpg
fig-000272,"Finn, Stormtrooper Armor",4,https://cdn.rebrickable.com/media/sets/fig-000272.jpg
fig-000281,"Rebel Trooper / Rebel Fleet Trooper, White Pupils, Smile",5,https://cdn.rebrickable.com/media/sets/fig-000281.jpg
fig-000303,"Clone Trooper, Phase I Armor, Brown Eyes",4,https://cdn.rebrickable.com/media/sets/fig-000303.jpg
fig-000305,Shadow ARF Trooper,4,https://cdn.rebrickable.com/media/sets/fig-000305.jpg
