set_num,name,year,theme_id,num_parts,img_url
10018-1,Darth Maul,2001,171,1868,https://cdn.rebrickable.com/media/sets/10018-1.jpg
10019-1,Rebel Blockade Runner,2001,171,1748,https://cdn.rebrickable.com/media/sets/10019-1.jpg
10026-1,Naboo Starfighter,2002,171,188,https://cdn.rebrickable.com/media/sets/10026-1.jpg
10030-1,Imperial Star Destroyer,2002,171,3116,https://cdn.rebrickable.com/media/sets/10030-1.jpg
10123-1,Cloud City,2003,171,707,https://cdn.rebrickable.com/media/sets/10123-1.jpg
10129-1,Rebel Snowspeeder,2003,171,1457,https://cdn.rebrickable.com/media/sets/10129-1.jpg
10131-1,TIE Fighter Collection,2004,171,685,https://cdn.rebrickable.com/media/sets/10131-1.jpg
10134-1,Y-wing Attack Starfighter,2004,171,1490,https://cdn.rebrickable.com/media/sets/10134-1.jpg
10143-1,Death Star II,2005,171,3461,https://cdn.rebrickable.com/media/sets/10143-1.jpg
10144-1,Sandcrawler,2005,171,1681,https://cdn.rebrickable.com/media/sets/10144-1.jpg
10174-1,Imperial AT-ST,2006,171,1069,https://cdn.rebrickable.com/media/sets/10174-1.jpg
10175-1,Vader's TIE Advanced,2006,171,1212,https://cdn.rebrickable.com/media/sets/10175-1.jpg
10178-1,Motorized Walking AT-AT,2007,171,1137,https://cdn.rebrickable.com/media/sets/10178-1.jpg
10179-1,Millennium Falcon,2007,171,5198,https://cdn.rebrickable.com/media/sets/10179-1.jpg
10186-1,General Grievous,2008,171,1085,https://cdn.rebrickable.com/media/sets/10186-1.jpg
10188-1,Death Star,2008,171,3807,https://cdn.rebrickable.com/media/sets/10188-1.jpg
10195-1,Republic Dropship with AT-OT,2009,171,1758,https://cdn.rebrickable.com/media/sets/10195-1.jpg
10198-1,Tantive IV,2009,171,1408,https://cdn.rebrickable.com/media/sets/10198-1.jpg
10212-1,Imperial Shuttle,2010,171,2503,https://cdn.rebrickable.com/media/sets/10212-1.jpg
10215-1,Obi-Wan's Jedi Starfighter,2010,171,676,https://cdn.rebrickable.com/media/sets/10215-1.jpg
10221-1,Super Star Destroyer,2011,171,3152,https://cdn.rebrickable.com/media/sets/10221-1.jpg
10225-1,R2-D2,2012,171,2127,https://cdn.rebrickable.com/media/sets/10225-1.jpg
10227-1,B-wing Starfighter,2012,171,1487,https://cdn.rebrickable.com/media/sets/10227-1.jpg
10236-1,Ewok Village,2013,171,1990,https://cdn.rebrickable.com/media/sets/10236-1.jpg
10240-1,Red Five X-Wing Starfighter,2013,171,1558,https://cdn.rebrickable.com/media/sets/10240-1.jpg
20006-1,Clone Turbo Tank,2008,158,64,https://cdn.rebrickable.com/media/sets/20006-1.jpg
20007-1,Republic Attack Cruiser,2009,158,84,https://cdn.rebrickable.com/media/sets/20007-1.jpg
20009-1,AT-TE Walker,2009,158,94,https://cdn.rebrickable.com/media/sets/20009-1.jpg
20010-1,Republic Gunship,2009,158,94,https://cdn.rebrickable.com/media/sets/20010-1.jpg
20016-1,Imperial Shuttle,2010,158,70,https://cdn.rebrickable.com/media/sets/20016-1.jpg
20018-1,AT-AT Walker,2010,158,83,https://cdn.rebrickable.com/media/sets/20018-1.jpg
20019-1,Slave I,2011,158,76,https://cdn.rebrickable.com/media/sets/20019-1.jpg
20021-1,Bounty Hunter Assault Gunship,2011,158,81,https://cdn.rebrickable.com/media/sets/20021-1.jpg
2853590-1,Stormtrooper,2009,158,5,https://cdn.rebrickable.com/media/sets/2853590-1.jpg
2853835-1,White Boba Fett Figure,2010,158,5,https://cdn.rebrickable.com/media/sets/2853835-1.jpg
2856197-1,Shadow ARF Trooper,2011,158,5,https://cdn.rebrickable.com/media/sets/2856197-1.jpg
30004-1,Battle Droid on STAP,2009,158,28,https://cdn.rebrickable.com/media/sets/30004-1.jpg
30005-1,Imperial Speeder Bike,2009,158,33,https://cdn.rebrickable.com/media/sets/30005-1.jpg
30006-1,Clone Walker,2009,158,31,https://cdn.rebrickable.com/media/sets/30006-1.jpg
30050-1,Republic Attack Shuttle - Mini,2010,158,54,https://cdn.rebrickable.com/media/sets/30050-1.jpg
30051-1,X-wing Fighter - Mini,2010,158,61,https://cdn.rebrickable.com/media/sets/30051-1.jpg
30052-1,AAT,2011,158,46,https://cdn.rebrickable.com/media/sets/30052-1.jpg
30053-1,Republic Attack Cruiser - Mini,2011,158,41,https://cdn.rebrickable.com/media/sets/30053-1.jpg
30054-1,AT-ST,2011,158,46,https://cdn.rebrickable.com/media/sets/30054-1.jpg
30055-1,Vulture Droid,2011,158,42,https://cdn.rebrickable.com/media/sets/30055-1.jpg
30056-1,Star Destroyer,2012,158,38,https://cdn.rebrickable.com/media/sets/30056-1.jpg
30057-1,Anakin's Podracer,2012,158,38,https://cdn.rebrickable.com/media/sets/30057-1.jpg
30058-1,STAP,2012,158,24,https://cdn.rebrickable.com/media/sets/30058-1.jpg
30059-1,MTT,2012,158,51,https://cdn.rebrickable.com/media/sets/30059-1.jpg
30240-1,Z-95 Headhunter,2013,158,54,https://cdn.rebrickable.com/media/sets/30240-1.jpg
30241-1,Mandalorian Fighter,2013,158,49,https://cdn.rebrickable.com/media/sets/30241-1.jpg
30242-1,Republic Frigate,2013,158,45,https://cdn.rebrickable.com/media/sets/30242-1.jpg
30243-1,Umbaran MHC,2013,158,49,https://cdn.rebrickable.com/media/sets/30243-1.jpg
30244-1,Anakin's Jedi Intercepter,2014,158,45,https://cdn.rebrickable.com/media/sets/30244-1.jpg
30246-1,Imperial Shuttle,2014,158,57,https://cdn.rebrickable.com/media/sets/30246-1.jpg
30247-1,ARC-170 Starfighter,2014,158,54,https://cdn.rebrickable.com/media/sets/30247-1.jpg
30272-1,A-Wing Starfighter,2015,158,58,https://cdn.rebrickable.com/media/sets/30272-1.jpg
30274-1,AT-DP,2015,158,65,https://cdn.rebrickable.com/media/sets/30274-1.jpg
30275-1,TIE Advanced Prototype,2015,158,47,https://cdn.rebrickable.com/media/sets/30275-1.jpg
30276-1,First Order Special Forces TIE Fighter,2015,158,41,https://cdn.rebrickable.com/media/sets/30276-1.jpg
30277-1,First Order Star Destroyer,2016,158,56,https://cdn.rebrickable.com/media/sets/30277-1.jpg
30278-1,Poe's X-wing Fighter,2015,158,64,https://cdn.rebrickable.com/media/sets/30278-1.jpg
30279-1,Kylo Ren's Command Shuttle,2016,158,43,https://cdn.rebrickable.com/media/sets/30279-1.jpg
30380-1,Kylo Ren's Shuttle,2018,158,33,https://cdn.rebrickable.com/media/sets/30380-1.jpg
30381-1,Imperial TIE Fighter,2018,158,42,https://cdn.rebrickable.com/media/sets/30381-1.jpg
30383-1,Naboo Starfighter,2019,158,48,https://cdn.rebrickable.com/media/sets/30383-1.jpg
30384-1,Snowspeeder,2019,158,49,https://cdn.rebrickable.com/media/sets/30384-1.jpg
30386-1,Poe Dameron's X-wing Fighter,2020,158,72,https://cdn.rebrickable.com/media/sets/30386-1.jpg
30388-1,Imperial Shuttle,2021,158,85,https://cdn.rebrickable.com/media/sets/30388-1.jpg
30461-1,Podracer,2019,158,60,https://cdn.rebrickable.com/media/sets/30461-1.jpg
30495-1,AT-ST,2022,158,79,https://cdn.rebrickable.com/media/sets/30495-1.jpg
30496-1,U-Wing Fighter,2017,158,55,https://cdn.rebrickable.com/media/sets/30496-1.jpg
30497-1,First Order Heavy Assault Walker,2017,158,54,https://cdn.rebrickable.com/media/sets/30497-1.jpg
30498-1,Imperial AT-Hauler,2018,158,49,https://cdn.rebrickable.com/media/sets/30498-1.jpg
30602-1,First Order Stormtrooper,2016,158,7,https://cdn.rebrickable.com/media/sets/30602-1.jpg
30605-1,Finn (FN-2187),2016,158,6,https://cdn.rebrickable.com/media/sets/30605-1.jpg
30611-1,R2-D2,2017,158,70,https://cdn.rebrickable.com/media/sets/30611-1.jpg
30624-1,Obi-Wan Kenobi - Collectible Minifigure,2019,158,12,https://cdn.rebrickable.com/media/sets/30624-1.jpg
30625-1,Luke Skywalker with Blue Milk,2022,158,6,https://cdn.rebrickable.com/media/sets/30625-1.jpg
30654-1,X-Wing Starfighter,2023,158,87,https://cdn.rebrickable.com/media/sets/30654-1.jpg
30680-1,AAT,2024,158,75,https://cdn.rebrickable.com/media/sets/30680-1.jpg
30685-1,TIE Interceptor,2024,158,48,https://cdn.rebrickable.com/media/sets/30685-1.jpg
30708-1,Millennium Falcon Mini-Build,2025,158,74,https://cdn.rebrickable.com/media/sets/30708-1.jpg
30727-1,TIE Advanced Mini-Build,2026,158,68,https://cdn.rebrickable.com/media/sets/30727-1.jpg
30728-1,The Razor Crest Mini-Build,2026,158,74,https://cdn.rebrickable.com/media/sets/30728-1.jpg
3219-1,MINI TIE Fighter,2002,158,12,https://cdn.rebrickable.com/media/sets/3219-1.jpg
3340-1,Star Wars #1 - Sith Minifig Pack,2000,158,30,https://cdn.rebrickable.com/media/sets/3340-1.jpg
3341-1,Star Wars #2 - Luke/Han/Boba Minifig Pack,2000,158,25,https://cdn.rebrickable.com/media/sets/3341-1.jpg
3342-1,Star Wars #3 - Troopers/Chewie Minifig Pack,2000,158,25,https://cdn.rebrickable.com/media/sets/3342-1.jpg
3343-1,Star Wars #4 - Battle Droid Minifig Pack,2000,158,33,https://cdn.rebrickable.com/media/sets/3343-1.jpg
40176-1,Scarif Stormtrooper,2017,158,25,https://cdn.rebrickable.com/media/sets/40176-1.jpg
40268-1,R3-M2,2017,158,22,https://cdn.rebrickable.com/media/sets/40268-1.jpg
40288-1,BB-8,2018,158,48,https://cdn.rebrickable.com/media/sets/40288-1.jpg
40298-1,DJ,2018,158,22,https://cdn.rebrickable.com/media/sets/40298-1.jpg
40299-1,Kessel Mine Worker,2018,158,22,https://cdn.rebrickable.com/media/sets/40299-1.jpg
40300-1,Han Solo Mudtrooper,2018,158,22,https://cdn.rebrickable.com/media/sets/40300-1.jpg
40333-1,Battle of Hoth - 20th Anniversary Edition,2019,158,195,https://cdn.rebrickable.com/media/sets/40333-1.jpg
40362-1,Battle of Endor - 20th Anniversary Edition,2019,158,197,https://cdn.rebrickable.com/media/sets/40362-1.jpg
40407-1,Death Star II Battle,2020,158,235,https://cdn.rebrickable.com/media/sets/40407-1.jpg
40451-1,Tatooine Homestead,2021,158,217,https://cdn.rebrickable.com/media/sets/40451-1.jpg
40483-1,Luke Skywalker's Lightsaber,2021,158,173,https://cdn.rebrickable.com/media/sets/40483-1.jpg
40531-1,Lars Family Homestead Kitchen,2022,158,195,https://cdn.rebrickable.com/media/sets/40531-1.jpg
40557-1,Defense of Hoth,2022,158,64,https://cdn.rebrickable.com/media/sets/40557-1.jpg
40558-1,Clone Trooper Command Station,2022,158,66,https://cdn.rebrickable.com/media/sets/40558-1.jpg
40591-1,Death Star II,2023,158,289,https://cdn.rebrickable.com/media/sets/40591-1.jpg
40658-1,Millennium Falcon Holiday Diorama,2023,158,282,https://cdn.rebrickable.com/media/sets/40658-1.jpg
40686-1,Trade Federation Troop Carrier,2024,158,262,https://cdn.rebrickable.com/media/sets/40686-1.jpg
40730-1,Luke Skywalker's Lightsaber,2024,158,145,https://cdn.rebrickable.com/media/sets/40730-1.jpg
40755-1,Imperial Dropship vs. Rebel Scout Speeder,2024,158,383,https://cdn.rebrickable.com/media/sets/40755-1.jpg
40765-1,Kamino Training Facility,2025,158,190,https://cdn.rebrickable.com/media/sets/40765-1.jpg
40771-1,TIE Fighter with Imperial Hangar Rack,2025,158,236,https://cdn.rebrickable.com/media/sets/40771-1.jpg
40806-1,Gingerbread AT-AT Walker,2025,158,697,https://cdn.rebrickable.com/media/sets/40806-1.jpg
40917-1,The Darksaber,2026,158,278,https://cdn.rebrickable.com/media/sets/40917-1.jpg
4151270-1,Star Wars Co-Pack,2000,158,0,https://cdn.rebrickable.com/media/sets/4151270-1.jpg
4195641-1,Star Wars Co-Pack,2002,158,0,https://cdn.rebrickable.com/media/sets/4195641-1.jpg
4207901-1,Star Wars MINI Bonus Pack,2003,158,0,https://cdn.rebrickable.com/media/sets/4207901-1.jpg
445062-1,Star Wars Co-Pack,2004,158,0,https://cdn.rebrickable.com/media/sets/445062-1.jpg
4475-1,Jabba's Message,2003,158,46,https://cdn.rebrickable.com/media/sets/4475-1.jpg
4476-1,Jabba's Prize,2003,158,40,https://cdn.rebrickable.com/media/sets/4476-1.jpg
